도서코드,도서명,저자이름,역자이름,출판사,발행년도,도서가격,대여가능여부,총대여횟수,도서이미지,대분류번호,중분류번호,등록일자,폐기여부,도서이미지경로
0102.007-1,산야초 백과사전,주의린,,128,2014.03.27,30000,1,1,,1,2,2019.07.22,0,
0201.001-1,강신주의 감정수업,강신주,,1,2013.11.15,19500,0,1,,2,1,2019.07.15,0,
0201.002-1,담론,신영복,,129,2015.04.20,18000,0,1,,2,1,2019.07.15,0,
0201.003-1,동양철학을 말한다,이케다 다이사쿠,,130,2016.07.03,12000,0,1,,2,1,2019.07.15,0,
0201.004-1,논어,공자,,131,2016.02.15,15000,0,1,,2,1,2019.07.15,0,
0201.005-1,성학집요,율곡이이,,132,2007.09.05,32000,0,2,,2,1,2019.07.15,0,
0201.006-1,다산선생 지식경영법,정민,,133,2006.11.25,25000,0,2,,2,1,2019.07.15,0,
0201.007-1,생각하는 힘 노자 인문학,최진석,,17,2015.03.12,14800,0,2,,2,1,2019.07.15,0,
0202.001-1,초역 니체의 말,시라토리하루히코,,134,2010.11.05,12000,0,2,,2,2,2019.07.15,0,
0202.002-1,플라톤의 국가 정체,플라톤,,135,2005.04.30,35000,0,2,,2,2,2019.07.15,0,
0202.003-1,군주론,니콜로마키아벨리,,91,2008.05.20,8000,0,2,,2,2,2019.07.15,0,
0202.004-1,자유론,존스튜어트밀,,23,2005.01.05,7900,0,2,,2,2,2019.07.15,0,
0202.005-1,러셀 서양철학사,버트런드 러셀,,136,2009.10.30,38000,0,2,,2,2,2019.07.15,0,
0202.006-1,소크라테스의 변명,플라톤,,25,1999.02.10,12000,0,2,,2,2,2019.07.15,0,
0202.007-1,플라톤의 대화편-개정판,플라톤,,137,2008.06.27,13000,0,2,,2,2,2019.07.15,0,
0301.001-1,세 종교이야기,홍익희,,138,2014.08.27,22000,0,0,,3,1,2019.07.15,0,
0301.002-1,성경의 탄생,존 드레인,,139,2011.01.15,27000,0,0,,3,1,2019.07.15,0,
0301.003-1,1세기 교회 예배 이야기,로버트 뱅크스,,140,2017.06.16,6000,0,0,,3,1,2019.07.15,0,
0301.004-1,세계 종교 둘러보기,오강남,,141,2013.08.26,18000,0,0,,3,1,2019.07.15,0,
0301.005-1,특강 종교개혁사,황희상,,142,2016.10.31,25000,0,0,,3,1,2019.07.15,0,
0302.001-1,천하무적 아르뱅주의,신광은,,143,2014.02.12,18000,0,0,,3,2,2019.07.15,0,
0302.002-1,종교전쟁,신대식,,144,2009.06.12,22000,0,0,,3,2,2019.07.15,0,
0302.003-1,또 다른 예수,오강남,,145,2009.05.10,16000,0,0,,3,2,2019.07.15,0,
0302.004-1,그대는 불멸의 존재다,개리 레너드,,146,2011.11.17,15000,0,0,,3,2,2019.07.15,0,
0302.005-1,신의 흔적을 찾아서,바바라 해거티,,133,2013.08.12,14000,0,0,,3,2,2019.07.15,0,
0601.001-1,인공지능과 딥러닝,마쓰오 유타카,,147,2015.12.10,15000,1,1,,6,1,2019.07.15,0,
0601.002-1,도구와 기계의 원리 NOW,데이비드 맥컬레이,,148,2016.12.16,38000,1,1,,6,1,2019.07.15,0,
0601.003-1,사출성형 불량대책 사례집,기타가와 가즈아키,,149,2011.03.10,210000,0,0,,6,1,2019.07.15,0,
0601.004-1,디지털 논리회로,임석구,,120,2015.07.06,27000,0,0,,6,1,2019.07.15,0,
0601.005-1,승강기 기사 산업기사,최기호,,150,2015.03.02,25000,0,0,,6,1,2019.07.15,0,
0601.006-1,도해전투기,기와노 요시유키,,111,2011.04.25,13000,0,0,,6,1,2019.07.15,0,
